"Id", "qty_smallint"
"10446", "12"
"10446", "15"
"10446", "20"
"10446", "3"
"10447", "2"
"10447", "35"
"10447", "40"
"10448", "20"
"10448", "6"
"10449", "14"
"10449", "20"
"10449", "35"
"10450", "20"
"10450", "6"
"10451", "120"
"10451", "28"
"10451", "35"
"10451", "55"
"10452", "100"
"10452", "15"
"10453", "15"
"10453", "25"
"10454", "10"
"10454", "20"
"10454", "20"
"10455", "20"
"10455", "25"
"10455", "30"
"10455", "50"
"10456", "21"
"10456", "40"
"10457", "36"
"10458", "15"
"10458", "20"
"10458", "30"
"10458", "30"
"10458", "50"
"10459", "16"
"10459", "20"
"10459", "40"
"10460", "21"
"10460", "4"
"10461", "28"
"10461", "40"
"10461", "60"
"10462", "1"
"10462", "21"
"10463", "21"
"10463", "50"
"10464", "16"
"10464", "20"
"10464", "3"
"10464", "30"
"10465", "18"
"10465", "20"
"10465", "25"
"10465", "25"
"10465", "30"
"10466", "10"
"10466", "5"
"10467", "12"
"10467", "28"
"10468", "15"
"10468", "8"
"10469", "2"
"10469", "35"
"10469", "40"
"10470", "15"
"10470", "30"
"10470", "8"
"10471", "20"
"10471", "30"
"10472", "18"
"10472", "80"
"10473", "12"
"10473", "12"
"10474", "10"
"10474", "12"
"10474", "18"
"10474", "21"
"10475", "35"
"10475", "42"
"10475", "60"
"10476", "12"
"10476", "2"
"10477", "15"
"10477", "20"
"10477", "21"
"10478", "20"
"10479", "28"
"10479", "30"
"10479", "30"
"10479", "60"
"10480", "12"
"10480", "30"
"10481", "24"
"10481", "40"
"10482", "10"
"10483", "30"
"10483", "35"
"10484", "10"
"10484", "14"
"10484", "3"
"10485", "20"
"10485", "20"
"10485", "30"
"10485", "60"
"10486", "16"
"10486", "25"
"10486", "5"
"10487", "24"
"10487", "30"
"10487", "5"
"10488", "20"
"10488", "30"
"10489", "15"
"10489", "18"
"10490", "30"
"10490", "36"
"10490", "60"
"10491", "15"
"10491", "7"
"10492", "20"
"10492", "60"
"10493", "10"
"10493", "10"
"10493", "15"
"10494", "30"
"10495", "10"
"10495", "20"
"10495", "5"
"10496", "20"
"10497", "14"
"10497", "25"
"10497", "25"
"10498", "14"
"10498", "30"
"10498", "5"
"10499", "20"
"10499", "25"
"10500", "12"
"10500", "8"
"10501", "20"
"10502", "21"
"10502", "30"
"10502", "6"
"10503", "20"
"10503", "70"
"10504", "10"
"10504", "12"
"10504", "12"
"10504", "25"
"10505", "3"
"10506", "14"
"10506", "18"
"10507", "15"
"10507", "15"
"10508", "10"
"10508", "10"
"10509", "3"
"10510", "36"
"10510", "36"
"10511", "10"
"10511", "50"
"10511", "50"
"10512", "10"
"10512", "12"
"10512", "6"
"10512", "9"
"10513", "15"
"10513", "40"
"10513", "50"
"10514", "35"
"10514", "39"
"10514", "39"
"10514", "50"
"10514", "70"
"10515", "120"
"10515", "16"
"10515", "16"
"10515", "50"
"10515", "84"
"10516", "20"
"10516", "25"
"10516", "80"
"10517", "4"
"10517", "6"
"10517", "6"
"10518", "15"
"10518", "5"
"10518", "9"
"10519", "10"
"10519", "16"
"10519", "40"
"10520", "5"
"10520", "8"
"10521", "10"
"10521", "3"
"10521", "6"
"10522", "20"
"10522", "24"
"10522", "25"
"10522", "40"
"10523", "15"
"10523", "18"
"10523", "25"
"10523", "6"
"10524", "10"
"10524", "15"
"10524", "2"
"10524", "60"
"10525", "15"
"10525", "30"
"10526", "10"
"10526", "30"
"10526", "8"
"10527", "30"
"10527", "50"
"10528", "3"
"10528", "8"
"10528", "9"
"10529", "10"
"10529", "14"
"10529", "20"
"10530", "20"
"10530", "25"
"10530", "40"
"10530", "50"
"10531", "2"
"10532", "15"
"10532", "24"
"10533", "24"
"10533", "24"
"10533", "50"
"10534", "10"
"10534", "10"
"10534", "10"
"10535", "10"
"10535", "15"
"10535", "5"
"10535", "50"
"10536", "15"
"10536", "20"
"10536", "30"
"10536", "35"
"10537", "20"
"10537", "21"
"10537", "30"
"10537", "6"
"10537", "9"
"10538", "1"
"10538", "7"
"10539", "15"
"10539", "15"
"10539", "6"
"10539", "8"
"10540", "30"
"10540", "35"
"10540", "40"
"10540", "60"
"10541", "35"
"10541", "36"
"10541", "4"
"10541", "9"
"10542", "15"
"10542", "24"
"10543", "30"
"10543", "70"
"10544", "7"
"10544", "7"
"10545", "10"
"10546", "10"
"10546", "30"
"10546", "40"
"10547", "24"
"10547", "60"
"10548", "10"
"10548", "14"
"10549", "100"
"10549", "48"
"10549", "55"
"10550", "10"
"10550", "10"
"10550", "6"
"10550", "8"
"10551", "20"
"10551", "40"
"10551", "40"
"10552", "18"
"10552", "30"
"10553", "14"
"10553", "15"
"10553", "24"
"10553", "30"
"10553", "6"
"10554", "10"
"10554", "20"
"10554", "20"
"10554", "30"
"10555", "18"
"10555", "20"
"10555", "30"
"10555", "35"
"10555", "40"
"10556", "24"
"10557", "20"
"10557", "30"
"10558", "18"
"10558", "20"
"10558", "25"
"10558", "3"
"10558", "30"
"10559", "12"
"10559", "18"
"10560", "15"
"10560", "20"
"10561", "10"
"10561", "50"
"10562", "10"
"10562", "20"
"10563", "25"
"10563", "70"
"10564", "16"
"10564", "25"
"10564", "6"
"10565", "18"
"10565", "25"
"10566", "10"
"10566", "18"
"10566", "35"
"10567", "3"
"10567", "40"
"10567", "60"
"10568", "5"
"10569", "30"
"10569", "35"
"10570", "15"
"10570", "60"
"10571", "11"
"10571", "28"
"10572", "10"
"10572", "12"
"10572", "15"
"10572", "50"
"10573", "18"
"10573", "25"
"10573", "40"
"10574", "10"
"10574", "14"
"10574", "2"
"10574", "6"
"10575", "10"
"10575", "12"
"10575", "30"
"10575", "6"
"10576", "10"
"10576", "20"
"10576", "21"
"10577", "10"
"10577", "18"
"10577", "20"
"10578", "20"
"10578", "6"
"10579", "10"
"10579", "21"
"10580", "15"
"10580", "30"
"10580", "9"
"10581", "50"
"10582", "14"
"10582", "4"
"10583", "10"
"10583", "10"
"10583", "24"
"10584", "50"
"10585", "15"
"10586", "4"
"10587", "20"
"10587", "20"
"10587", "6"
"10588", "100"
"10588", "40"
"10589", "4"
"10590", "20"
"10590", "60"
"10591", "10"
"10591", "14"
"10591", "50"
"10592", "25"
"10592", "5"
"10593", "20"
"10593", "21"
"10593", "4"
"10594", "24"
"10594", "30"
"10595", "120"
"10595", "30"
"10595", "65"
"10596", "24"
"10596", "30"
"10596", "5"
"10597", "12"
"10597", "20"
"10597", "35"
"10598", "50"
"10598", "9"
"10599", "10"
"10600", "30"
"10600", "4"
"10601", "35"
"10601", "60"
"10602", "5"
"10603", "25"
"10603", "48"
"10604", "10"
"10604", "6"
"10605", "15"
"10605", "20"
"10605", "30"
"10605", "70"
"10606", "10"
"10606", "20"
"10606", "20"
"10607", "100"
"10607", "12"
"10607", "14"
"10607", "42"
"10607", "45"
"10608", "28"
"10609", "10"
"10609", "3"
"10609", "6"
"10610", "21"
"10611", "10"
"10611", "15"
"10611", "6"
"10612", "18"
"10612", "40"
"10612", "55"
"10612", "70"
"10612", "80"
"10613", "40"
"10613", "8"
"10614", "14"
"10614", "5"
"10614", "8"
"10615", "5"
"10616", "14"
"10616", "15"
"10616", "15"
"10616", "15"
"10617", "30"
"10618", "15"
"10618", "20"
"10618", "70"
"10619", "40"
"10619", "42"
"10620", "5"
"10620", "5"
"10621", "10"
"10621", "15"
"10621", "20"
"10621", "5"
"10622", "18"
"10622", "20"
"10623", "15"
"10623", "21"
"10623", "25"
"10623", "3"
"10623", "30"
"10624", "10"
"10624", "10"
"10624", "6"
"10625", "10"
"10625", "3"
"10625", "5"
"10626", "12"
"10626", "20"
"10626", "20"
"10627", "15"
"10627", "35"
"10628", "25"
"10629", "20"
"10629", "9"
"10630", "12"
"10630", "35"
"10631", "8"
"10632", "20"
"10632", "30"
"10633", "13"
"10633", "35"
"10633", "36"
"10633", "80"
"10634", "15"
"10634", "2"
"10634", "35"
"10634", "50"
"10635", "10"
"10635", "15"
"10635", "40"
"10636", "25"
"10636", "6"
"10637", "10"
"10637", "25"
"10637", "60"
"10638", "20"
"10638", "21"
"10638", "60"
"10639", "8"
"10640", "15"
"10640", "20"
"10641", "50"
"10641", "60"
"10642", "20"
"10642", "30"
"10643", "15"
"10643", "2"
"10643", "21"
"10644", "20"
"10644", "21"
"10644", "4"
"10645", "15"
"10645", "20"
"10646", "15"
"10646", "18"
"10646", "30"
"10646", "35"
"10647", "20"
"10647", "30"
"10648", "15"
"10648", "15"
"10649", "15"
"10649", "20"
"10650", "25"
"10650", "30"
"10650", "30"
"10651", "12"
"10651", "20"
"10652", "2"
"10652", "20"
"10653", "20"
"10653", "30"
"10654", "12"
"10654", "20"
"10654", "6"
"10655", "20"
"10656", "28"
"10656", "3"
"10656", "6"
"10657", "10"
"10657", "24"
"10657", "30"
"10657", "45"
"10657", "45"
"10657", "50"
"10658", "55"
"10658", "60"
"10658", "70"
"10658", "70"
"10659", "20"
"10659", "24"
"10659", "40"
"10660", "21"
"10661", "3"
"10661", "49"
"10662", "10"
"10663", "20"
"10663", "30"
"10663", "30"
"10664", "12"
"10664", "15"
"10664", "24"
"10665", "1"
"10665", "10"
"10665", "20"
"10666", "10"
"10666", "36"
"10667", "14"
"10667", "45"
"10668", "15"
"10668", "4"
"10668", "8"
"10669", "30"
"10670", "25"
"10670", "25"
"10670", "32"
"10670", "50"
"10670", "60"
"10671", "10"
"10671", "10"
"10671", "12"
"10672", "12"
"10672", "15"
"10673", "3"
"10673", "6"
"10673", "6"
"10674", "5"
"10675", "10"
"10675", "30"
"10675", "30"
"10676", "2"
"10676", "21"
"10676", "7"
"10677", "30"
"10677", "8"
"10678", "100"
"10678", "120"
"10678", "30"
"10678", "30"
"10679", "12"
"10680", "20"
"10680", "40"
"10680", "50"
"10681", "12"
"10681", "28"
"10681", "30"
"10682", "30"
"10682", "30"
"10682", "4"
"10683", "9"
"10684", "20"
"10684", "30"
"10684", "40"
"10685", "15"
"10685", "20"
"10685", "4"
"10686", "15"
"10686", "30"
"10687", "10"
"10687", "50"
"10687", "6"
"10688", "14"
"10688", "18"
"10688", "60"
"10689", "35"
"10690", "20"
"10690", "30"
"10691", "24"
"10691", "30"
"10691", "40"
"10691", "40"
"10691", "48"
"10692", "20"
"10693", "15"
"10693", "30"
"10693", "6"
"10693", "60"
"10694", "25"
"10694", "50"
"10694", "90"
"10695", "10"
"10695", "20"
"10695", "4"
"10696", "18"
"10696", "20"
"10697", "30"
"10697", "30"
"10697", "7"
"10697", "9"
"10698", "12"
"10698", "15"
"10698", "65"
"10698", "8"
"10698", "8"
"10699", "12"
"10700", "12"
"10700", "40"
"10700", "5"
"10700", "60"
"10701", "20"
"10701", "35"
"10701", "42"
"10702", "15"
"10702", "6"
"10703", "35"
"10703", "35"
"10703", "5"
"10704", "24"
"10704", "35"
"10704", "6"
"10705", "20"
"10705", "4"
"10706", "20"
"10706", "24"
"10706", "8"
"10707", "21"
"10707", "28"
"10707", "40"
"10708", "4"
"10708", "5"
"10709", "10"
"10709", "28"
"10709", "40"
"10710", "5"
"10710", "5"
"10711", "12"
"10711", "120"
"10711", "42"
"10712", "3"
"10712", "30"
"10713", "110"
"10713", "18"
"10713", "24"
"10713", "30"
"10714", "12"
"10714", "18"
"10714", "27"
"10714", "30"
"10714", "50"
"10715", "21"
"10715", "30"
"10716", "10"
"10716", "5"
"10716", "7"
"10717", "15"
"10717", "25"
"10717", "32"
"10718", "20"
"10718", "20"
"10718", "36"
"10718", "40"
"10719", "12"
"10719", "3"
"10719", "40"
"10720", "21"
"10720", "8"
"10721", "50"
"10722", "3"
"10722", "42"
"10722", "45"
"10722", "50"
"10723", "15"
"10724", "16"
"10724", "5"
"10725", "12"
"10725", "4"
"10725", "6"
"10726", "25"
"10726", "5"
"10727", "10"
"10727", "10"
"10727", "20"
"10728", "12"
"10728", "15"
"10728", "15"
"10728", "6"
"10729", "30"
"10729", "40"
"10729", "50"
"10730", "10"
"10730", "15"
"10730", "3"
"10731", "30"
"10731", "40"
"10732", "20"
"10733", "16"
"10733", "20"
"10733", "25"
"10734", "15"
"10734", "20"
"10734", "30"
"10735", "2"
"10735", "20"
"10736", "20"
"10736", "40"
"10737", "12"
"10737", "4"
"10738", "3"
"10739", "18"
"10739", "6"
"10740", "14"
"10740", "35"
"10740", "40"
"10740", "5"
"10741", "15"
"10742", "20"
"10742", "35"
"10742", "50"
"10743", "28"
"10744", "50"
"10745", "16"
"10745", "24"
"10745", "45"
"10745", "7"
"10746", "28"
"10746", "40"
"10746", "6"
"10746", "9"
"10747", "30"
"10747", "35"
"10747", "8"
"10747", "9"
"10748", "28"
"10748", "40"
"10748", "44"
"10749", "10"
"10749", "15"
"10749", "6"
"10750", "25"
"10750", "40"
"10750", "5"
"10751", "12"
"10751", "15"
"10751", "20"
"10751", "30"
"10752", "3"
"10752", "8"
"10753", "4"
"10753", "5"
"10754", "3"
"10755", "14"
"10755", "25"
"10755", "30"
"10755", "30"
"10756", "20"
"10756", "20"
"10756", "21"
"10756", "6"
"10757", "24"
"10757", "30"
"10757", "30"
"10757", "7"
"10758", "20"
"10758", "40"
"10758", "60"
"10759", "10"
"10760", "12"
"10760", "30"
"10760", "40"
"10761", "18"
"10761", "35"
"10762", "16"
"10762", "28"
"10762", "30"
"10762", "60"
"10763", "20"
"10763", "40"
"10763", "6"
"10764", "130"
"10764", "20"
"10765", "80"
"10766", "35"
"10766", "40"
"10766", "40"
"10767", "2"
"10768", "12"
"10768", "15"
"10768", "4"
"10768", "50"
"10769", "15"
"10769", "15"
"10769", "20"
"10769", "30"
"10770", "15"
"10771", "16"
"10772", "18"
"10772", "25"
"10773", "33"
"10773", "7"
"10773", "70"
"10774", "2"
"10774", "50"
"10775", "3"
"10775", "6"
"10776", "12"
"10776", "120"
"10776", "16"
"10776", "27"
"10777", "20"
"10778", "10"
"10779", "20"
"10779", "20"
"10780", "15"
"10780", "35"
"10781", "20"
"10781", "3"
"10781", "35"
"10782", "1"
"10783", "10"
"10783", "5"
"10784", "2"
"10784", "30"
"10784", "30"
"10785", "10"
"10785", "10"
"10786", "15"
"10786", "30"
"10786", "42"
"10787", "15"
"10787", "20"
"10788", "40"
"10788", "50"
"10789", "15"
"10789", "18"
"10789", "30"
"10789", "30"
"10790", "20"
"10790", "3"
"10791", "14"
"10791", "20"
"10792", "10"
"10792", "15"
"10792", "3"
"10793", "14"
"10793", "8"
"10794", "15"
"10794", "6"
"10795", "35"
"10795", "65"
"10796", "10"
"10796", "21"
"10796", "24"
"10796", "35"
"10797", "20"
"10798", "10"
"10798", "2"
"10799", "20"
"10799", "20"
"10799", "25"
"10800", "10"
"10800", "50"
"10800", "7"
"10801", "20"
"10801", "40"
"10802", "25"
"10802", "30"
"10802", "5"
"10802", "60"
"10803", "15"
"10803", "15"
"10803", "24"
"10804", "24"
"10804", "36"
"10804", "4"
"10805", "10"
"10805", "10"
"10806", "15"
"10806", "2"
"10806", "20"
"10807", "1"
"10808", "20"
"10808", "50"
"10809", "20"
"10810", "5"
"10810", "5"
"10810", "7"
"10811", "15"
"10811", "18"
"10811", "30"
"10812", "16"
"10812", "20"
"10812", "40"
"10813", "12"
"10813", "35"
"10814", "20"
"10814", "20"
"10814", "30"
"10814", "8"
"10815", "16"
"10816", "20"
"10816", "30"
"10817", "25"
"10817", "30"
"10817", "40"
"10817", "60"
"10818", "20"
"10818", "20"
"10819", "20"
"10819", "7"
"10820", "30"
"10821", "20"
"10821", "6"
"10822", "3"
"10822", "6"
"10823", "15"
"10823", "15"
"10823", "20"
"10823", "40"
"10824", "12"
"10824", "9"
"10825", "12"
"10825", "20"
"10826", "15"
"10826", "35"
"10827", "15"
"10827", "21"
"10828", "2"
"10828", "5"
"10829", "10"
"10829", "10"
"10829", "20"
"10829", "21"
"10830", "24"
"10830", "28"
"10830", "30"
"10830", "6"
"10831", "2"
"10831", "8"
"10831", "8"
"10831", "9"
"10832", "10"
"10832", "16"
"10832", "3"
"10832", "3"
"10833", "20"
"10833", "9"
"10833", "9"
"10834", "20"
"10834", "8"
"10835", "15"
"10835", "2"
"10836", "24"
"10836", "30"
"10836", "52"
"10836", "6"
"10836", "60"
"10837", "21"
"10837", "25"
"10837", "40"
"10837", "6"
"10838", "25"
"10838", "4"
"10838", "50"
"10839", "15"
"10839", "30"
"10840", "10"
"10840", "6"
"10841", "15"
"10841", "16"
"10841", "30"
"10841", "50"
"10842", "12"
"10842", "15"
"10842", "20"
"10842", "5"
"10843", "4"
"10844", "35"
"10845", "25"
"10845", "42"
"10845", "48"
"10845", "60"
"10845", "70"
"10846", "20"
"10846", "21"
"10846", "30"
"10847", "12"
"10847", "36"
"10847", "45"
"10847", "55"
"10847", "60"
"10847", "80"
"10848", "3"
"10848", "30"
"10849", "18"
"10849", "49"
"10850", "20"
"10850", "30"
"10850", "4"
"10851", "10"
"10851", "10"
"10851", "42"
"10851", "5"
"10852", "15"
"10852", "50"
"10852", "6"
"10853", "10"
"10854", "100"
"10854", "65"
"10855", "14"
"10855", "15"
"10855", "24"
"10855", "50"
"10856", "20"
"10856", "20"
"10857", "10"
"10857", "30"
"10857", "35"
"10858", "10"
"10858", "4"
"10858", "5"
"10859", "30"
"10859", "35"
"10859", "40"
"10860", "20"
"10860", "3"
"10861", "20"
"10861", "3"
"10861", "35"
"10861", "40"
"10861", "42"
"10862", "25"
"10862", "8"
"10863", "12"
"10863", "20"
"10864", "15"
"10864", "4"
"10865", "60"
"10865", "80"
"10866", "21"
"10866", "40"
"10866", "6"
"10867", "3"
"10868", "20"
"10868", "30"
"10868", "42"
"10869", "10"
"10869", "20"
"10869", "40"
"10869", "50"
"10870", "2"
"10870", "3"
"10871", "12"
"10871", "16"
"10871", "50"
"10872", "10"
"10872", "15"
"10872", "20"
"10872", "21"
"10873", "20"
"10873", "3"
"10874", "10"
"10875", "15"
"10875", "21"
"10875", "25"
"10876", "20"
"10876", "21"
"10877", "25"
"10877", "30"
"10878", "20"
"10879", "10"
"10879", "10"
"10879", "12"
"10880", "30"
"10880", "30"
"10880", "50"
"10881", "10"
"10882", "20"
"10882", "25"
"10882", "32"
"10883", "8"
"10884", "12"
"10884", "21"
"10884", "40"
"10885", "12"
"10885", "20"
"10885", "25"
"10885", "30"
"10886", "35"
"10886", "40"
"10886", "70"
"10887", "5"
"10888", "18"
"10888", "20"
"10889", "40"
"10889", "40"
"10890", "10"
"10890", "14"
"10890", "15"
"10891", "15"
"10892", "40"
"10893", "10"
"10893", "20"
"10893", "24"
"10893", "30"
"10893", "35"
"10894", "120"
"10894", "28"
"10894", "50"
"10895", "100"
"10895", "110"
"10895", "45"
"10895", "91"
"10896", "15"
"10896", "16"
"10897", "36"
"10897", "80"
"10898", "5"
"10899", "8"
"10900", "3"
"10901", "30"
"10901", "30"
"10902", "30"
"10902", "6"
"10903", "20"
"10903", "21"
"10903", "40"
"10904", "15"
"10904", "35"
"10905", "20"
"10906", "15"
"10907", "14"
"10908", "14"
"10908", "20"
"10909", "12"
"10909", "15"
"10909", "5"
"10910", "10"
"10910", "12"
"10910", "5"
"10911", "10"
"10911", "12"
"10911", "15"
"10912", "40"
"10912", "60"
"10913", "15"
"10913", "30"
"10913", "40"
"10914", "25"
"10915", "10"
"10915", "10"
"10915", "30"
"10916", "20"
"10916", "6"
"10916", "6"
"10917", "1"
"10917", "10"
"10918", "25"
"10918", "60"
"10919", "20"
"10919", "24"
"10919", "24"
"10920", "24"
