"Id", "Discount"
"10588", "0.2"
"10588", "0.2"
"10593", "0.2"
"10593", "0.2"
"10593", "0.2"
"10595", "0.25"
"10595", "0.25"
"10595", "0.25"
"10596", "0.2"
"10596", "0.2"
"10596", "0.2"
"10597", "0.2"
"10597", "0.2"
"10602", "0.25"
"10606", "0.2"
"10606", "0.2"
"10606", "0.2"
"10610", "0.25"
"10617", "0.15"
"10622", "0.2"
"10627", "0.15"
"10633", "0.15"
"10633", "0.15"
"10633", "0.15"
"10633", "0.15"
"10640", "0.25"
"10640", "0.25"
"10642", "0.2"
"10642", "0.2"
"10643", "0.25"
"10643", "0.25"
"10643", "0.25"
"10646", "0.25"
"10646", "0.25"
"10646", "0.25"
"10646", "0.25"
"10648", "0.15"
"10651", "0.25"
"10651", "0.25"
"10652", "0.25"
"10655", "0.2"
"10661", "0.2"
"10661", "0.2"
"10664", "0.15"
"10664", "0.15"
"10664", "0.15"
"10667", "0.2"
"10667", "0.2"
"10677", "0.15"
"10677", "0.15"
"10680", "0.25"
"10680", "0.25"
"10680", "0.25"
"10686", "0.2"
"10687", "0.25"
"10687", "0.25"
"10689", "0.25"
"10690", "0.25"
"10690", "0.25"
"10693", "0.15"
"10693", "0.15"
"10693", "0.15"
"10697", "0.25"
"10697", "0.25"
"10697", "0.25"
"10697", "0.25"
"10700", "0.2"
"10700", "0.2"
"10700", "0.2"
"10700", "0.2"
"10701", "0.15"
"10701", "0.15"
"10701", "0.15"
"10707", "0.15"
"10714", "0.25"
"10714", "0.25"
"10714", "0.25"
"10714", "0.25"
"10714", "0.25"
"10719", "0.25"
"10719", "0.25"
"10719", "0.25"
"10740", "0.2"
"10740", "0.2"
"10740", "0.2"
"10740", "0.2"
"10741", "0.2"
"10744", "0.2"
"10750", "0.15"
"10750", "0.15"
"10750", "0.15"
"10755", "0.25"
"10755", "0.25"
"10755", "0.25"
"10755", "0.25"
"10756", "0.2"
"10756", "0.2"
"10756", "0.2"
"10756", "0.2"
"10760", "0.25"
"10760", "0.25"
"10761", "0.25"
"10770", "0.25"
"10773", "0.2"
"10773", "0.2"
"10774", "0.25"
"10777", "0.2"
"10781", "0.2"
"10781", "0.2"
"10784", "0.15"
"10784", "0.15"
"10786", "0.2"
"10786", "0.2"
"10786", "0.2"
"10790", "0.15"
"10790", "0.15"
"10794", "0.2"
"10794", "0.2"
"10795", "0.25"
"10796", "0.2"
"10796", "0.2"
"10796", "0.2"
"10799", "0.15"
"10799", "0.15"
"10801", "0.25"
"10801", "0.25"
"10802", "0.25"
"10802", "0.25"
"10802", "0.25"
"10802", "0.25"
"10804", "0.15"
"10806", "0.25"
"10806", "0.25"
"10808", "0.15"
"10808", "0.15"
"10813", "0.2"
"10814", "0.15"
"10814", "0.15"
"10814", "0.15"
"10817", "0.15"
"10817", "0.15"
"10817", "0.15"
"10832", "0.2"
"10832", "0.2"
"10832", "0.2"
"10835", "0.2"
"10837", "0.25"
"10837", "0.25"
"10838", "0.25"
"10838", "0.25"
"10838", "0.25"
"10840", "0.2"
"10840", "0.2"
"10843", "0.25"
"10847", "0.2"
"10847", "0.2"
"10847", "0.2"
"10847", "0.2"
"10847", "0.2"
"10847", "0.2"
"10849", "0.15"
"10850", "0.15"
"10850", "0.15"
"10850", "0.15"
"10854", "0.15"
"10854", "0.15"
"10855", "0.15"
"10857", "0.25"
"10857", "0.25"
"10859", "0.25"
"10859", "0.25"
"10859", "0.25"
"10863", "0.15"
"10863", "0.15"
"10866", "0.25"
"10866", "0.25"
"10866", "0.25"
"10877", "0.25"
"10880", "0.2"
"10880", "0.2"
"10880", "0.2"
"10882", "0.15"
"10882", "0.15"
"10899", "0.15"
"10900", "0.25"
"10902", "0.15"
"10902", "0.15"
"10912", "0.25"
"10912", "0.25"
"10913", "0.25"
"10913", "0.25"
"10918", "0.25"
"10918", "0.25"
"10923", "0.2"
"10923", "0.2"
"10923", "0.2"
"10925", "0.15"
"10925", "0.15"
"10930", "0.2"
"10930", "0.2"
"10931", "0.15"
"10935", "0.25"
"10935", "0.25"
"10936", "0.2"
"10938", "0.25"
"10938", "0.25"
"10938", "0.25"
"10938", "0.25"
"10939", "0.15"
"10939", "0.15"
"10941", "0.25"
"10941", "0.25"
"10941", "0.25"
"10944", "0.25"
"10944", "0.25"
"10954", "0.15"
"10954", "0.15"
"10954", "0.15"
"10955", "0.2"
"10959", "0.15"
"10960", "0.25"
"10963", "0.15"
"10966", "0.15"
"10966", "0.15"
"10970", "0.2"
"10978", "0.15"
"10978", "0.15"
"10978", "0.15"
"10980", "0.2"
"10983", "0.15"
"10990", "0.15"
"10990", "0.15"
"10990", "0.15"
"10991", "0.2"
"10991", "0.2"
"10991", "0.2"
"10993", "0.25"
"10993", "0.25"
"10997", "0.25"
"10997", "0.25"
"11000", "0.25"
"11000", "0.25"
"11002", "0.15"
"11002", "0.15"
"11006", "0.25"
"11009", "0.25"
"11020", "0.15"
"11021", "0.25"
"11021", "0.25"
"11027", "0.25"
"11027", "0.25"
"11030", "0.25"
"11030", "0.25"
"11030", "0.25"
"11038", "0.2"
"11041", "0.2"
"11047", "0.25"
"11047", "0.25"
"11049", "0.2"
"11049", "0.2"
"11051", "0.2"
"11052", "0.2"
"11052", "0.2"
"11053", "0.2"
"11053", "0.2"
"11062", "0.2"
"11062", "0.2"
"11065", "0.25"
"11065", "0.25"
"11068", "0.15"
"11068", "0.15"
"11068", "0.15"
"11070", "0.15"
"11070", "0.15"
"11070", "0.15"
"11075", "0.15"
"11075", "0.15"
"11075", "0.15"
"11076", "0.25"
"11076", "0.25"
"11076", "0.25"
"11077", "0.2"
