"company", "route"
"Königlich Essen", "GermanyGermany"
"Königlich Essen", "GermanyGermany"
"Königlich Essen", "GermanyGermany"
"LILA-Supermercado", "VenezuelaVenezuela"
"LILA-Supermercado", "VenezuelaVenezuela"
"LILA-Supermercado", "VenezuelaVenezuela"
"LILA-Supermercado", "VenezuelaVenezuela"
"LILA-Supermercado", "VenezuelaVenezuela"
"LILA-Supermercado", "VenezuelaVenezuela"
"LILA-Supermercado", "VenezuelaVenezuela"
"LILA-Supermercado", "VenezuelaVenezuela"
"LILA-Supermercado", "VenezuelaVenezuela"
"LILA-Supermercado", "VenezuelaVenezuela"
"LILA-Supermercado", "VenezuelaVenezuela"
"LILA-Supermercado", "VenezuelaVenezuela"
"LILA-Supermercado", "VenezuelaVenezuela"
"LILA-Supermercado", "VenezuelaVenezuela"
"LINO-Delicateses", "VenezuelaVenezuela"
"LINO-Delicateses", "VenezuelaVenezuela"
"LINO-Delicateses", "VenezuelaVenezuela"
"LINO-Delicateses", "VenezuelaVenezuela"
"LINO-Delicateses", "VenezuelaVenezuela"
"LINO-Delicateses", "VenezuelaVenezuela"
"LINO-Delicateses", "VenezuelaVenezuela"
"LINO-Delicateses", "VenezuelaVenezuela"
"LINO-Delicateses", "VenezuelaVenezuela"
"LINO-Delicateses", "VenezuelaVenezuela"
"LINO-Delicateses", "VenezuelaVenezuela"
"LINO-Delicateses", "VenezuelaVenezuela"
"La corne d'abondance", "FranceFrance"
"La corne d'abondance", "FranceFrance"
"La corne d'abondance", "FranceFrance"
"La corne d'abondance", "FranceFrance"
"La maison d'Asie", "FranceFrance"
"La maison d'Asie", "FranceFrance"
"La maison d'Asie", "FranceFrance"
"La maison d'Asie", "FranceFrance"
"La maison d'Asie", "FranceFrance"
"La maison d'Asie", "FranceFrance"
"La maison d'Asie", "FranceFrance"
"La maison d'Asie", "FranceFrance"
"La maison d'Asie", "FranceFrance"
"La maison d'Asie", "FranceFrance"
"La maison d'Asie", "FranceFrance"
"La maison d'Asie", "FranceFrance"
"La maison d'Asie", "FranceFrance"
"La maison d'Asie", "FranceFrance"
"Laughing Bacchus Wine Cellars", "CanadaCanada"
"Laughing Bacchus Wine Cellars", "CanadaCanada"
"Laughing Bacchus Wine Cellars", "CanadaCanada"
"Lazy K Kountry Store", "USAUSA"
"Lazy K Kountry Store", "USAUSA"
"Lehmanns Marktstand", "GermanyGermany"
"Lehmanns Marktstand", "GermanyGermany"
"Lehmanns Marktstand", "GermanyGermany"
"Lehmanns Marktstand", "GermanyGermany"
"Lehmanns Marktstand", "GermanyGermany"
"Lehmanns Marktstand", "GermanyGermany"
"Lehmanns Marktstand", "GermanyGermany"
"Lehmanns Marktstand", "GermanyGermany"
"Lehmanns Marktstand", "GermanyGermany"
"Lehmanns Marktstand", "GermanyGermany"
"Lehmanns Marktstand", "GermanyGermany"
"Lehmanns Marktstand", "GermanyGermany"
"Lehmanns Marktstand", "GermanyGermany"
"Lehmanns Marktstand", "GermanyGermany"
"Lehmanns Marktstand", "GermanyGermany"
"Let's Stop N Shop", "USAUSA"
"Let's Stop N Shop", "USAUSA"
"Let's Stop N Shop", "USAUSA"
"Let's Stop N Shop", "USAUSA"
"Lonesome Pine Restaurant", "USAUSA"
"Lonesome Pine Restaurant", "USAUSA"
"Lonesome Pine Restaurant", "USAUSA"
"Lonesome Pine Restaurant", "USAUSA"
"Lonesome Pine Restaurant", "USAUSA"
"Lonesome Pine Restaurant", "USAUSA"
"Lonesome Pine Restaurant", "USAUSA"
"Lonesome Pine Restaurant", "USAUSA"
"Magazzini Alimentari Riuniti", "ItalyItaly"
"Magazzini Alimentari Riuniti", "ItalyItaly"
"Magazzini Alimentari Riuniti", "ItalyItaly"
"Magazzini Alimentari Riuniti", "ItalyItaly"
"Magazzini Alimentari Riuniti", "ItalyItaly"
"Magazzini Alimentari Riuniti", "ItalyItaly"
"Magazzini Alimentari Riuniti", "ItalyItaly"
"Magazzini Alimentari Riuniti", "ItalyItaly"
"Magazzini Alimentari Riuniti", "ItalyItaly"
"Magazzini Alimentari Riuniti", "ItalyItaly"
"Maison Dewey", "BelgiumBelgium"
"Maison Dewey", "BelgiumBelgium"
"Maison Dewey", "BelgiumBelgium"
"Maison Dewey", "BelgiumBelgium"
"Maison Dewey", "BelgiumBelgium"
"Maison Dewey", "BelgiumBelgium"
"Maison Dewey", "BelgiumBelgium"
"Morgenstern Gesundkost", "GermanyGermany"
"Morgenstern Gesundkost", "GermanyGermany"
"Morgenstern Gesundkost", "GermanyGermany"
"Morgenstern Gesundkost", "GermanyGermany"
"Morgenstern Gesundkost", "GermanyGermany"
"Mère Paillarde", "CanadaCanada"
"Mère Paillarde", "CanadaCanada"
"Mère Paillarde", "CanadaCanada"
"Mère Paillarde", "CanadaCanada"
"Mère Paillarde", "CanadaCanada"
"Mère Paillarde", "CanadaCanada"
"Mère Paillarde", "CanadaCanada"
"Mère Paillarde", "CanadaCanada"
"Mère Paillarde", "CanadaCanada"
"Mère Paillarde", "CanadaCanada"
"Mère Paillarde", "CanadaCanada"
"Mère Paillarde", "CanadaCanada"
"Mère Paillarde", "CanadaCanada"
"North/South", "UKUK"
"North/South", "UKUK"
"North/South", "UKUK"
"Océano Atlántico Ltda.", "ArgentinaArgentina"
"Océano Atlántico Ltda.", "ArgentinaArgentina"
"Océano Atlántico Ltda.", "ArgentinaArgentina"
"Océano Atlántico Ltda.", "ArgentinaArgentina"
"Océano Atlántico Ltda.", "ArgentinaArgentina"
"Old World Delicatessen", "USAUSA"
"Old World Delicatessen", "USAUSA"
"Old World Delicatessen", "USAUSA"
"Old World Delicatessen", "USAUSA"
"Old World Delicatessen", "USAUSA"
"Old World Delicatessen", "USAUSA"
"Old World Delicatessen", "USAUSA"
"Old World Delicatessen", "USAUSA"
"Old World Delicatessen", "USAUSA"
"Old World Delicatessen", "USAUSA"
"Ottilies Käseladen", "GermanyGermany"
"Ottilies Käseladen", "GermanyGermany"
"Ottilies Käseladen", "GermanyGermany"
"Ottilies Käseladen", "GermanyGermany"
"Ottilies Käseladen", "GermanyGermany"
"Ottilies Käseladen", "GermanyGermany"
"Ottilies Käseladen", "GermanyGermany"
"Ottilies Käseladen", "GermanyGermany"
"Ottilies Käseladen", "GermanyGermany"
"Ottilies Käseladen", "GermanyGermany"
"Pericles Comidas clásicas", "MexicoMexico"
"Pericles Comidas clásicas", "MexicoMexico"
"Pericles Comidas clásicas", "MexicoMexico"
"Pericles Comidas clásicas", "MexicoMexico"
"Pericles Comidas clásicas", "MexicoMexico"
"Pericles Comidas clásicas", "MexicoMexico"
"Piccolo und mehr", "AustriaAustria"
"Piccolo und mehr", "AustriaAustria"
"Piccolo und mehr", "AustriaAustria"
"Piccolo und mehr", "AustriaAustria"
"Piccolo und mehr", "AustriaAustria"
"Piccolo und mehr", "AustriaAustria"
"Piccolo und mehr", "AustriaAustria"
"Piccolo und mehr", "AustriaAustria"
"Piccolo und mehr", "AustriaAustria"
"Piccolo und mehr", "AustriaAustria"
"Princesa Isabel Vinhos", "PortugalPortugal"
"Princesa Isabel Vinhos", "PortugalPortugal"
"Princesa Isabel Vinhos", "PortugalPortugal"
"Princesa Isabel Vinhos", "PortugalPortugal"
"Princesa Isabel Vinhos", "PortugalPortugal"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"QUICK-Stop", "GermanyGermany"
"Que Delícia", "BrazilBrazil"
"Que Delícia", "BrazilBrazil"
"Que Delícia", "BrazilBrazil"
"Que Delícia", "BrazilBrazil"
"Que Delícia", "BrazilBrazil"
"Que Delícia", "BrazilBrazil"
"Que Delícia", "BrazilBrazil"
"Que Delícia", "BrazilBrazil"
"Que Delícia", "BrazilBrazil"
"Queen Cozinha", "BrazilBrazil"
"Queen Cozinha", "BrazilBrazil"
"Queen Cozinha", "BrazilBrazil"
"Queen Cozinha", "BrazilBrazil"
"Queen Cozinha", "BrazilBrazil"
"Queen Cozinha", "BrazilBrazil"
"Queen Cozinha", "BrazilBrazil"
"Queen Cozinha", "BrazilBrazil"
"Queen Cozinha", "BrazilBrazil"
"Queen Cozinha", "BrazilBrazil"
"Queen Cozinha", "BrazilBrazil"
"Queen Cozinha", "BrazilBrazil"
"Queen Cozinha", "BrazilBrazil"
"Rancho grande", "ArgentinaArgentina"
"Rancho grande", "ArgentinaArgentina"
"Rancho grande", "ArgentinaArgentina"
"Rancho grande", "ArgentinaArgentina"
"Rancho grande", "ArgentinaArgentina"
"Rattlesnake Canyon Grocery", "USAUSA"
"Rattlesnake Canyon Grocery", "USAUSA"
"Rattlesnake Canyon Grocery", "USAUSA"
"Rattlesnake Canyon Grocery", "USAUSA"
"Rattlesnake Canyon Grocery", "USAUSA"
"Rattlesnake Canyon Grocery", "USAUSA"
"Rattlesnake Canyon Grocery", "USAUSA"
"Rattlesnake Canyon Grocery", "USAUSA"
"Rattlesnake Canyon Grocery", "USAUSA"
"Rattlesnake Canyon Grocery", "USAUSA"
"Rattlesnake Canyon Grocery", "USAUSA"
"Rattlesnake Canyon Grocery", "USAUSA"
"Rattlesnake Canyon Grocery", "USAUSA"
"Rattlesnake Canyon Grocery", "USAUSA"
"Rattlesnake Canyon Grocery", "USAUSA"
"Rattlesnake Canyon Grocery", "USAUSA"
"Rattlesnake Canyon Grocery", "USAUSA"
"Rattlesnake Canyon Grocery", "USAUSA"
"Reggiani Caseifici", "ItalyItaly"
"Reggiani Caseifici", "ItalyItaly"
"Reggiani Caseifici", "ItalyItaly"
"Reggiani Caseifici", "ItalyItaly"
"Reggiani Caseifici", "ItalyItaly"
"Reggiani Caseifici", "ItalyItaly"
"Reggiani Caseifici", "ItalyItaly"
"Reggiani Caseifici", "ItalyItaly"
"Reggiani Caseifici", "ItalyItaly"
"Reggiani Caseifici", "ItalyItaly"
"Reggiani Caseifici", "ItalyItaly"
"Reggiani Caseifici", "ItalyItaly"
"Ricardo Adocicados", "BrazilBrazil"
"Ricardo Adocicados", "BrazilBrazil"
"Ricardo Adocicados", "BrazilBrazil"
"Ricardo Adocicados", "BrazilBrazil"
"Ricardo Adocicados", "BrazilBrazil"
"Ricardo Adocicados", "BrazilBrazil"
"Ricardo Adocicados", "BrazilBrazil"
"Ricardo Adocicados", "BrazilBrazil"
"Ricardo Adocicados", "BrazilBrazil"
"Ricardo Adocicados", "BrazilBrazil"
"Ricardo Adocicados", "BrazilBrazil"
"Richter Supermarkt", "SwitzerlandSwitzerland"
"Richter Supermarkt", "SwitzerlandSwitzerland"
"Richter Supermarkt", "SwitzerlandSwitzerland"
"Richter Supermarkt", "SwitzerlandSwitzerland"
"Richter Supermarkt", "SwitzerlandSwitzerland"
"Richter Supermarkt", "SwitzerlandSwitzerland"
"Richter Supermarkt", "SwitzerlandSwitzerland"
"Richter Supermarkt", "SwitzerlandSwitzerland"
"Richter Supermarkt", "SwitzerlandSwitzerland"
"Richter Supermarkt", "SwitzerlandSwitzerland"
"Romero y tomillo", "SpainSpain"
"Romero y tomillo", "SpainSpain"
"Romero y tomillo", "SpainSpain"
"Romero y tomillo", "SpainSpain"
"Romero y tomillo", "SpainSpain"
"Santé Gourmet", "NorwayNorway"
"Santé Gourmet", "NorwayNorway"
"Santé Gourmet", "NorwayNorway"
