"Id", "Name"
"10389", "Bottom-Dollar Markets"
"10390", "Ernst Handel"
"10392", "Piccolo und mehr"
"10393", "Save-a-lot Markets"
"10394", "Hungry Coyote Import Store"
"10395", "HILARION-Abastos"
"10396", "Frankenversand"
"10397", "Princesa Isabel Vinhos"
"10398", "Save-a-lot Markets"
"10399", "Vaffeljernet"
"10400", "Eastern Connection"
"10401", "Rattlesnake Canyon Grocery"
"10402", "Ernst Handel"
"10403", "Ernst Handel"
"10404", "Magazzini Alimentari Riuniti"
"10405", "LINO-Delicateses"
"10406", "Queen Cozinha"
"10407", "Ottilies Käseladen"
"10408", "Folies gourmandes"
"10409", "Océano Atlántico Ltda."
"10411", "Bottom-Dollar Markets"
"10413", "La maison d'Asie"
"10414", "Familia Arquibaldo"
"10416", "Wartian Herkku"
"10417", "Simons bistro"
"10418", "QUICK-Stop"
"10419", "Richter Supermarkt"
"10420", "Wellington Importadora"
"10421", "Que Delícia"
"10423", "Gourmet Lanchonetes"
"10424", "Mère Paillarde"
"10426", "Galería del gastrónomo"
"10427", "Piccolo und mehr"
"10428", "Reggiani Caseifici"
"10429", "Hungry Owl All-Night Grocers"
"10430", "Ernst Handel"
"10431", "Bottom-Dollar Markets"
"10433", "Princesa Isabel Vinhos"
"10434", "Folk och fä HB"
"10436", "Blondesddsl père et fils"
"10437", "Wartian Herkku"
"10440", "Save-a-lot Markets"
"10441", "Old World Delicatessen"
"10442", "Ernst Handel"
"10443", "Reggiani Caseifici"
"10446", "Toms Spezialitäten"
"10447", "Ricardo Adocicados"
"10448", "Rancho grande"
"10449", "Blondesddsl père et fils"
"10451", "QUICK-Stop"
"10452", "Save-a-lot Markets"
"10453", "Around the Horn"
"10455", "Wartian Herkku"
"10457", "Königlich Essen"
"10458", "Suprêmes délices"
"10459", "Victuailles en stock"
"10460", "Folk och fä HB"
"10461", "LILA-Supermercado"
"10463", "Suprêmes délices"
"10464", "Furia Bacalhau e Frutos do Mar"
"10465", "Vaffeljernet"
"10466", "Comércio Mineiro"
"10468", "Königlich Essen"
"10469", "White Clover Markets"
"10470", "Bon app'"
"10471", "B's Beverages"
"10473", "Island Trading"
"10474", "Pericles Comidas clásicas"
"10475", "Suprêmes délices"
"10477", "Princesa Isabel Vinhos"
"10479", "Rattlesnake Canyon Grocery"
"10481", "Ricardo Adocicados"
"10483", "White Clover Markets"
"10485", "LINO-Delicateses"
"10486", "HILARION-Abastos"
"10487", "Queen Cozinha"
"10490", "HILARION-Abastos"
"10491", "Furia Bacalhau e Frutos do Mar"
"10492", "Bottom-Dollar Markets"
"10493", "La maison d'Asie"
"10494", "Comércio Mineiro"
"10496", "Tradição Hipermercados"
"10497", "Lehmanns Marktstand"
"10498", "HILARION-Abastos"
"10499", "LILA-Supermercado"
"10500", "La maison d'Asie"
"10502", "Pericles Comidas clásicas"
"10503", "Hungry Owl All-Night Grocers"
"10504", "White Clover Markets"
"10506", "Königlich Essen"
"10507", "Antonio Moreno Taquería"
"10510", "Save-a-lot Markets"
"10511", "Bon app'"
"10513", "Die Wandernde Kuh"
"10514", "Ernst Handel"
"10515", "QUICK-Stop"
"10516", "Hungry Owl All-Night Grocers"
"10518", "Tortuga Restaurante"
"10519", "Chop-suey Chinese"
"10520", "Santé Gourmet"
"10521", "Cactus Comidas para llevar"
"10522", "Lehmanns Marktstand"
"10523", "Seven Seas Imports"
"10524", "Berglunds snabbköp"
"10525", "Bon app'"
"10526", "Wartian Herkku"
"10527", "QUICK-Stop"
"10529", "Maison Dewey"
"10530", "Piccolo und mehr"
"10532", "Eastern Connection"
"10533", "Folk och fä HB"
"10534", "Lehmanns Marktstand"
"10535", "Antonio Moreno Taquería"
"10536", "Lehmanns Marktstand"
"10537", "Richter Supermarkt"
"10539", "B's Beverages"
"10540", "QUICK-Stop"
"10541", "Hanari Carnes"
"10542", "Königlich Essen"
"10543", "LILA-Supermercado"
"10544", "Lonesome Pine Restaurant"
"10545", "Lazy K Kountry Store"
"10546", "Victuailles en stock"
"10547", "Seven Seas Imports"
"10549", "QUICK-Stop"
"10551", "Furia Bacalhau e Frutos do Mar"
"10552", "HILARION-Abastos"
"10553", "Wartian Herkku"
"10554", "Ottilies Käseladen"
"10555", "Save-a-lot Markets"
"10557", "Lehmanns Marktstand"
"10558", "Around the Horn"
"10560", "Frankenversand"
"10561", "Folk och fä HB"
"10562", "Reggiani Caseifici"
"10563", "Ricardo Adocicados"
"10564", "Rattlesnake Canyon Grocery"
"10566", "Blondesddsl père et fils"
"10567", "Hungry Owl All-Night Grocers"
"10569", "Rattlesnake Canyon Grocery"
"10570", "Mère Paillarde"
"10571", "Ernst Handel"
"10572", "Berglunds snabbköp"
"10573", "Antonio Moreno Taquería"
"10574", "Trail's Head Gourmet Provisioners"
"10575", "Morgenstern Gesundkost"
"10576", "Tortuga Restaurante"
"10577", "Trail's Head Gourmet Provisioners"
"10578", "B's Beverages"
"10579", "Let's Stop N Shop"
"10580", "Ottilies Käseladen"
"10582", "Blauer See Delikatessen"
"10584", "Blondesddsl père et fils"
"10585", "Wellington Importadora"
"10587", "Que Delícia"
"10588", "QUICK-Stop"
"10590", "Mère Paillarde"
"10591", "Vaffeljernet"
"10592", "Lehmanns Marktstand"
"10593", "Lehmanns Marktstand"
"10595", "Ernst Handel"
"10596", "White Clover Markets"
"10597", "Piccolo und mehr"
"10598", "Rattlesnake Canyon Grocery"
"10599", "B's Beverages"
"10600", "Hungry Coyote Import Store"
"10601", "HILARION-Abastos"
"10603", "Save-a-lot Markets"
"10605", "Mère Paillarde"
"10606", "Tradição Hipermercados"
"10607", "Save-a-lot Markets"
"10608", "Toms Spezialitäten"
"10610", "La maison d'Asie"
"10611", "Wolski  Zajazd"
"10612", "Save-a-lot Markets"
"10616", "Great Lakes Food Market"
"10617", "Great Lakes Food Market"
"10618", "Mère Paillarde"
"10619", "Mère Paillarde"
"10621", "Island Trading"
"10622", "Ricardo Adocicados"
"10623", "Frankenversand"
"10624", "The Cracker Box"
"10626", "Berglunds snabbköp"
"10627", "Save-a-lot Markets"
"10628", "Blondesddsl père et fils"
"10629", "Godos Cocina Típica"
"10630", "Königlich Essen"
"10632", "Die Wandernde Kuh"
"10633", "Ernst Handel"
"10634", "Folies gourmandes"
"10635", "Magazzini Alimentari Riuniti"
"10637", "Queen Cozinha"
"10638", "LINO-Delicateses"
"10639", "Santé Gourmet"
"10640", "Die Wandernde Kuh"
"10641", "HILARION-Abastos"
"10642", "Simons bistro"
"10643", "Alfreds Futterkiste"
"10645", "Hanari Carnes"
"10646", "Hungry Owl All-Night Grocers"
"10647", "Que Delícia"
"10648", "Ricardo Adocicados"
"10650", "Familia Arquibaldo"
"10651", "Die Wandernde Kuh"
"10653", "Frankenversand"
"10654", "Berglunds snabbköp"
"10656", "Great Lakes Food Market"
"10657", "Save-a-lot Markets"
"10658", "QUICK-Stop"
"10659", "Queen Cozinha"
"10660", "Hungry Coyote Import Store"
"10661", "Hungry Owl All-Night Grocers"
"10663", "Bon app'"
"10665", "Lonesome Pine Restaurant"
"10666", "Richter Supermarkt"
"10667", "Ernst Handel"
"10668", "Die Wandernde Kuh"
"10669", "Simons bistro"
"10670", "Frankenversand"
"10671", "France restauration"
"10672", "Berglunds snabbköp"
"10675", "Frankenversand"
"10678", "Save-a-lot Markets"
"10679", "Blondesddsl père et fils"
"10680", "Old World Delicatessen"
"10681", "Great Lakes Food Market"
"10682", "Antonio Moreno Taquería"
"10684", "Ottilies Käseladen"
"10685", "Gourmet Lanchonetes"
"10686", "Piccolo und mehr"
"10687", "Hungry Owl All-Night Grocers"
"10688", "Vaffeljernet"
"10689", "Berglunds snabbköp"
"10690", "Hanari Carnes"
"10691", "QUICK-Stop"
"10692", "Alfreds Futterkiste"
"10693", "White Clover Markets"
"10694", "QUICK-Stop"
"10696", "White Clover Markets"
"10697", "LINO-Delicateses"
"10698", "Ernst Handel"
"10700", "Save-a-lot Markets"
"10701", "Hungry Owl All-Night Grocers"
"10702", "Alfreds Futterkiste"
"10703", "Folk och fä HB"
"10706", "Old World Delicatessen"
"10707", "Around the Horn"
"10709", "Gourmet Lanchonetes"
"10711", "Save-a-lot Markets"
"10712", "Hungry Owl All-Night Grocers"
"10713", "Save-a-lot Markets"
"10714", "Save-a-lot Markets"
"10715", "Bon app'"
"10716", "Rancho grande"
"10717", "Frankenversand"
"10718", "Königlich Essen"
"10719", "Let's Stop N Shop"
"10721", "QUICK-Stop"
"10722", "Save-a-lot Markets"
"10723", "White Clover Markets"
"10724", "Mère Paillarde"
"10725", "Familia Arquibaldo"
"10726", "Eastern Connection"
"10727", "Reggiani Caseifici"
"10728", "Queen Cozinha"
"10729", "LINO-Delicateses"
"10730", "Bon app'"
"10731", "Chop-suey Chinese"
"10732", "Bon app'"
"10733", "Berglunds snabbköp"
"10735", "Let's Stop N Shop"
"10736", "Hungry Owl All-Night Grocers"
"10739", "Vins et alcools Chevalier"
"10740", "White Clover Markets"
"10741", "Around the Horn"
"10742", "Bottom-Dollar Markets"
"10743", "Around the Horn"
"10744", "Vaffeljernet"
"10746", "Chop-suey Chinese"
"10747", "Piccolo und mehr"
"10748", "Save-a-lot Markets"
"10749", "Island Trading"
"10750", "Wartian Herkku"
"10751", "Richter Supermarkt"
"10755", "Bon app'"
"10756", "Split Rail Beer & Ale"
"10758", "Richter Supermarkt"
"10760", "Maison Dewey"
"10761", "Rattlesnake Canyon Grocery"
"10762", "Folk och fä HB"
"10763", "Folies gourmandes"
"10764", "Ernst Handel"
"10765", "QUICK-Stop"
"10766", "Ottilies Käseladen"
"10768", "Around the Horn"
"10769", "Vaffeljernet"
"10771", "Ernst Handel"
"10772", "Lehmanns Marktstand"
"10773", "Ernst Handel"
"10774", "Folk och fä HB"
"10775", "The Cracker Box"
"10776", "Ernst Handel"
"10779", "Morgenstern Gesundkost"
"10780", "LILA-Supermercado"
"10781", "Wartian Herkku"
"10783", "Hanari Carnes"
"10784", "Magazzini Alimentari Riuniti"
"10786", "Queen Cozinha"
"10787", "La maison d'Asie"
"10788", "QUICK-Stop"
"10789", "Folies gourmandes"
"10790", "Gourmet Lanchonetes"
"10791", "Frankenversand"
"10792", "Wolski  Zajazd"
"10794", "Que Delícia"
"10795", "Ernst Handel"
"10796", "HILARION-Abastos"
"10797", "Drachenblut Delikatessen"
"10799", "Königlich Essen"
"10800", "Seven Seas Imports"
"10801", "Bólido Comidas preparadas"
"10802", "Simons bistro"
"10803", "Wellington Importadora"
"10804", "Seven Seas Imports"
"10805", "The Big Cheese"
"10806", "Victuailles en stock"
"10808", "Old World Delicatessen"
"10811", "LINO-Delicateses"
"10812", "Reggiani Caseifici"
"10813", "Ricardo Adocicados"
"10814", "Victuailles en stock"
"10815", "Save-a-lot Markets"
"10816", "Great Lakes Food Market"
"10817", "Königlich Essen"
"10818", "Magazzini Alimentari Riuniti"
"10819", "Cactus Comidas para llevar"
"10820", "Rattlesnake Canyon Grocery"
"10821", "Split Rail Beer & Ale"
"10823", "LILA-Supermercado"
"10825", "Drachenblut Delikatessen"
"10827", "Bon app'"
"10828", "Rancho grande"
"10829", "Island Trading"
"10830", "Tradição Hipermercados"
"10831", "Santé Gourmet"
"10832", "La maison d'Asie"
"10833", "Ottilies Käseladen"
"10834", "Tradição Hipermercados"
"10835", "Alfreds Futterkiste"
"10836", "Ernst Handel"
"10837", "Berglunds snabbköp"
"10838", "LINO-Delicateses"
"10839", "Tradição Hipermercados"
"10841", "Suprêmes délices"
"10842", "Tortuga Restaurante"
"10844", "Piccolo und mehr"
"10845", "QUICK-Stop"
"10846", "Suprêmes délices"
"10847", "Save-a-lot Markets"
"10848", "Consolidated Holdings"
"10850", "Victuailles en stock"
"10851", "Ricardo Adocicados"
"10852", "Rattlesnake Canyon Grocery"
"10853", "Blauer See Delikatessen"
"10854", "Ernst Handel"
"10855", "Old World Delicatessen"
"10856", "Antonio Moreno Taquería"
"10857", "Berglunds snabbköp"
"10858", "La corne d'abondance"
"10859", "Frankenversand"
"10860", "France restauration"
"10861", "White Clover Markets"
"10862", "Lehmanns Marktstand"
"10863", "HILARION-Abastos"
"10865", "QUICK-Stop"
"10866", "Berglunds snabbköp"
"10868", "Queen Cozinha"
"10869", "Seven Seas Imports"
"10870", "Wolski  Zajazd"
"10871", "Bon app'"
"10872", "Godos Cocina Típica"
"10874", "Godos Cocina Típica"
"10875", "Berglunds snabbköp"
"10876", "Bon app'"
"10877", "Ricardo Adocicados"
"10878", "QUICK-Stop"
"10880", "Folk och fä HB"
"10882", "Save-a-lot Markets"
"10884", "Let's Stop N Shop"
"10888", "Godos Cocina Típica"
"10889", "Rattlesnake Canyon Grocery"
"10890", "Du monde entier"
"10891", "Lehmanns Marktstand"
"10892", "Maison Dewey"
"10893", "Königlich Essen"
"10894", "Save-a-lot Markets"
"10895", "Ernst Handel"
"10896", "Maison Dewey"
"10897", "Hungry Owl All-Night Grocers"
"10901", "HILARION-Abastos"
"10902", "Folk och fä HB"
"10903", "Hanari Carnes"
"10904", "White Clover Markets"
"10905", "Wellington Importadora"
"10906", "Wolski  Zajazd"
"10908", "Reggiani Caseifici"
"10909", "Santé Gourmet"
"10911", "Godos Cocina Típica"
"10912", "Hungry Owl All-Night Grocers"
"10913", "Queen Cozinha"
"10914", "Queen Cozinha"
"10916", "Rancho grande"
"10918", "Bottom-Dollar Markets"
"10919", "LINO-Delicateses"
"10920", "Around the Horn"
"10921", "Vaffeljernet"
"10922", "Hanari Carnes"
"10923", "La maison d'Asie"
"10924", "Berglunds snabbköp"
"10927", "La corne d'abondance"
"10929", "Frankenversand"
"10930", "Suprêmes délices"
"10931", "Richter Supermarkt"
"10932", "Bon app'"
"10933", "Island Trading"
"10934", "Lehmanns Marktstand"
"10935", "Wellington Importadora"
"10936", "Great Lakes Food Market"
"10937", "Cactus Comidas para llevar"
"10938", "QUICK-Stop"
"10939", "Magazzini Alimentari Riuniti"
"10940", "Bon app'"
"10941", "Save-a-lot Markets"
"10942", "Reggiani Caseifici"
"10944", "Bottom-Dollar Markets"
"10945", "Morgenstern Gesundkost"
"10946", "Vaffeljernet"
"10948", "Godos Cocina Típica"
"10949", "Bottom-Dollar Markets"
"10951", "Richter Supermarkt"
"10952", "Alfreds Futterkiste"
"10953", "Around the Horn"
"10954", "LINO-Delicateses"
"10956", "Blauer See Delikatessen"
"10957", "HILARION-Abastos"
"10958", "Océano Atlántico Ltda."
"10961", "Queen Cozinha"
"10962", "QUICK-Stop"
"10964", "Spécialités du monde"
"10965", "Old World Delicatessen"
"10966", "Chop-suey Chinese"
"10967", "Toms Spezialitäten"
"10968", "Ernst Handel"
"10970", "Bólido Comidas preparadas"
"10971", "France restauration"
"10973", "La corne d'abondance"
"10974", "Split Rail Beer & Ale"
"10975", "Bottom-Dollar Markets"
"10976", "HILARION-Abastos"
"10977", "Folk och fä HB"
"10978", "Maison Dewey"
"10979", "Ernst Handel"
"10981", "Hanari Carnes"
"10982", "Bottom-Dollar Markets"
"10983", "Save-a-lot Markets"
"10984", "Save-a-lot Markets"
"10985", "Hungry Owl All-Night Grocers"
"10986", "Océano Atlántico Ltda."
"10987", "Eastern Connection"
"10988", "Rattlesnake Canyon Grocery"
"10989", "Que Delícia"
"10990", "Ernst Handel"
"10991", "QUICK-Stop"
"10994", "Vaffeljernet"
"10995", "Pericles Comidas clásicas"
"10997", "LILA-Supermercado"
"10998", "Wolski  Zajazd"
"10999", "Ottilies Käseladen"
"11000", "Rattlesnake Canyon Grocery"
"11001", "Folk och fä HB"
"11002", "Save-a-lot Markets"
"11003", "The Cracker Box"
"11004", "Maison Dewey"
"11006", "Great Lakes Food Market"
"11007", "Princesa Isabel Vinhos"
"11008", "Ernst Handel"
"11009", "Godos Cocina Típica"
"11010", "Reggiani Caseifici"
"11012", "Frankenversand"
"11013", "Romero y tomillo"
"11014", "LINO-Delicateses"
"11016", "Around the Horn"
"11017", "Ernst Handel"
"11018", "Lonesome Pine Restaurant"
"11020", "Ottilies Käseladen"
"11021", "QUICK-Stop"
"11023", "B's Beverages"
"11024", "Eastern Connection"
"11025", "Wartian Herkku"
"11026", "Franchi S.p.A."
"11027", "Bottom-Dollar Markets"
"11028", "Königlich Essen"
"11029", "Chop-suey Chinese"
"11030", "Save-a-lot Markets"
"11031", "Save-a-lot Markets"
"11032", "White Clover Markets"
"11033", "Richter Supermarkt"
"11034", "Old World Delicatessen"
"11036", "Drachenblut Delikatessen"
"11038", "Suprêmes délices"
"11039", "LINO-Delicateses"
"11040", "Great Lakes Food Market"
"11041", "Chop-suey Chinese"
"11042", "Comércio Mineiro"
"11045", "Bottom-Dollar Markets"
"11046", "Die Wandernde Kuh"
"11047", "Eastern Connection"
"11048", "Bottom-Dollar Markets"
"11050", "Folk och fä HB"
"11052", "Hanari Carnes"
"11053", "Piccolo und mehr"
"11055", "HILARION-Abastos"
"11056", "Eastern Connection"
"11058", "Blauer See Delikatessen"
"11059", "Ricardo Adocicados"
"11060", "Franchi S.p.A."
"11061", "Great Lakes Food Market"
"11062", "Reggiani Caseifici"
"11063", "Hungry Owl All-Night Grocers"
"11064", "Save-a-lot Markets"
"11065", "LILA-Supermercado"
"11066", "White Clover Markets"
"11068", "Queen Cozinha"
"11069", "Tortuga Restaurante"
"11070", "Lehmanns Marktstand"
"11072", "Ernst Handel"
"11073", "Pericles Comidas clásicas"
"11074", "Simons bistro"
"11076", "Bon app'"
