"employee_id", "Order Date", "Id", "Freight", "cumulative_freight"
"2", "2024-01-05", "10815", "14.62", "4834.07"
"2", "2024-01-07", "10819", "19.76", "4853.83"
"2", "2024-01-14", "10832", "43.26", "4897.09"
"2", "2024-01-22", "10846", "56.46", "4953.55"
"2", "2024-01-29", "10858", "52.51", "5006.06"
"2", "2024-02-02", "10865", "348.14", "5354.2"
"2", "2024-02-26", "10912", "580.91", "5935.11"
"2", "2024-02-27", "10915", "3.51", "5938.62"
"2", "2024-03-02", "10919", "19.8", "5958.42"
"2", "2024-03-10", "10939", "76.33", "6034.75"
"2", "2024-03-13", "10949", "74.44", "6109.19"
"2", "2024-03-23", "10967", "62.22", "6171.41"
"2", "2024-03-24", "10971", "121.82", "6293.23"
"2", "2024-03-27", "10982", "14.01", "6307.24"
"2", "2024-03-27", "10983", "657.54", "6964.78"
"2", "2024-03-30", "10985", "91.51", "7056.29"
"2", "2024-03-31", "10989", "34.76", "7091.05"
"2", "2024-04-01", "10990", "117.61", "7208.66"
"2", "2024-04-02", "10994", "65.53", "7274.19"
"2", "2024-04-06", "11000", "55.12", "7329.31"
"2", "2024-04-06", "11001", "197.3", "7526.61"
"2", "2024-04-07", "11005", "0.75", "7527.36"
"2", "2024-04-08", "11009", "59.11", "7586.47"
"2", "2024-04-09", "11010", "28.71", "7615.18"
"2", "2024-04-09", "11013", "32.99", "7648.17"
"2", "2024-04-10", "11014", "23.6", "7671.77"
"2", "2024-04-10", "11015", "4.62", "7676.39"
"2", "2024-04-14", "11020", "43.3", "7719.69"
"2", "2024-04-16", "11028", "29.59", "7749.28"
"2", "2024-04-17", "11032", "606.19", "8355.47"
"2", "2024-04-20", "11035", "0.17", "8355.64"
"2", "2024-04-22", "11042", "29.99", "8385.63"
"2", "2024-04-27", "11053", "53.05", "8438.68"
"2", "2024-04-29", "11059", "85.8", "8524.48"
"2", "2024-04-30", "11060", "10.98", "8535.46"
"2", "2024-05-05", "11070", "136", "8671.46"
"2", "2024-05-05", "11073", "24.95", "8696.41"
"3", "2022-07-08", "10251", "41.34", "41.34"
"3", "2022-07-10", "10253", "58.17", "99.51"
"3", "2022-07-15", "10256", "13.97", "113.48"
"3", "2022-07-26", "10266", "25.73", "139.21"
"3", "2022-08-05", "10273", "76.07", "215.28"
"3", "2022-08-16", "10283", "84.81", "300.09"
"3", "2022-09-19", "10309", "47.3", "347.39"
"3", "2022-10-03", "10321", "3.43", "350.82"
"3", "2022-10-16", "10330", "12.75", "363.57"
"3", "2022-10-17", "10332", "52.84", "416.41"
"3", "2022-11-05", "10346", "142.08", "558.49"
"3", "2022-11-12", "10352", "1.3", "559.79"
"3", "2022-11-25", "10362", "96.04", "655.83"
"3", "2022-11-27", "10365", "22", "677.83"
"3", "2022-12-06", "10375", "20.12", "697.95"
"3", "2022-12-12", "10381", "7.99", "705.94"
"3", "2022-12-16", "10384", "168.64", "874.58"
"3", "2022-12-23", "10391", "5.45", "880.03"
"3", "2023-01-09", "10409", "29.83", "909.86"
"3", "2023-01-10", "10410", "2.4", "912.26"
"3", "2023-01-14", "10413", "95.66", "1007.92"
"3", "2023-01-15", "10415", "0.2", "1008.12"
"3", "2023-01-21", "10420", "44.12", "1052.24"
"3", "2023-01-29", "10429", "56.63", "1108.87"
"3", "2023-01-31", "10432", "4.34", "1113.21"
"3", "2023-02-03", "10433", "73.83", "1187.04"
"3", "2023-02-03", "10434", "17.92", "1204.96"
"3", "2023-02-05", "10436", "156.66", "1361.62"
"3", "2023-02-06", "10438", "8.24", "1369.86"
"3", "2023-02-10", "10441", "73.02", "1442.88"
"3", "2023-02-11", "10442", "47.94", "1490.82"
"3", "2023-02-12", "10444", "3.5", "1494.32"
"3", "2023-02-13", "10445", "9.3", "1503.62"
"3", "2023-02-18", "10449", "53.3", "1556.92"
"3", "2023-03-07", "10468", "44.12", "1601.04"
"3", "2023-03-19", "10479", "708.95", "2309.99"
"3", "2023-03-24", "10484", "6.88", "2316.87"
"3", "2023-04-01", "10492", "62.89", "2379.76"
"3", "2023-04-03", "10495", "4.65", "2384.41"
"3", "2023-04-14", "10505", "7.13", "2391.54"
"3", "2023-04-22", "10514", "789.95", "3181.49"
"3", "2023-04-24", "10517", "32.07", "3213.56"
"3", "2023-05-08", "10530", "339.22", "3552.78"
"3", "2023-05-14", "10536", "58.88", "3611.66"
"3", "2023-05-19", "10540", "1007.64", "4619.3"
"3", "2023-05-23", "10547", "178.43", "4797.73"
"3", "2023-05-26", "10548", "1.43", "4799.16"
"3", "2023-06-13", "10568", "6.54", "4805.7"
"3", "2023-06-17", "10570", "188.99", "4994.69"
"3", "2023-06-18", "10572", "116.43", "5111.12"
"3", "2023-06-23", "10576", "18.56", "5129.68"
"3", "2023-06-26", "10581", "3.01", "5132.69"
"3", "2023-06-27", "10582", "27.71", "5160.4"
"3", "2023-07-08", "10592", "32.1", "5192.5"
"3", "2023-07-09", "10594", "5.24", "5197.74"
"3", "2023-08-04", "10619", "91.05", "5288.79"
"3", "2023-08-08", "10625", "43.9", "5332.69"
"3", "2023-08-20", "10638", "158.44", "5491.13"
"3", "2023-08-25", "10644", "0.14", "5491.27"
"3", "2023-09-09", "10662", "1.28", "5492.55"
"3", "2023-09-25", "10681", "76.13", "5568.68"
"3", "2023-09-25", "10682", "36.13", "5604.81"
"3", "2023-09-26", "10684", "145.63", "5750.44"
"3", "2023-10-06", "10693", "139.34", "5889.78"
"3", "2023-10-08", "10697", "45.52", "5935.3"
"3", "2023-10-09", "10699", "0.58", "5935.88"
"3", "2023-10-10", "10700", "65.1", "6000.98"
"3", "2023-10-21", "10712", "89.93", "6090.91"
"3", "2023-10-23", "10715", "63.2", "6154.11"
"3", "2023-10-30", "10723", "21.72", "6175.83"
"3", "2023-11-06", "10732", "16.97", "6192.8"
"3", "2023-11-12", "10739", "11.08", "6203.88"
"3", "2023-11-14", "10742", "243.73", "6447.61"
"3", "2023-11-20", "10748", "232.55", "6680.16"
"3", "2023-11-24", "10751", "130.79", "6810.95"
"3", "2023-11-25", "10753", "7.7", "6818.65"
"3", "2023-11-28", "10758", "138.17", "6956.82"
"3", "2023-11-28", "10759", "11.99", "6968.81"
"3", "2023-12-02", "10762", "328.74", "7297.55"
"3", "2023-12-03", "10763", "37.35", "7334.9"
"3", "2023-12-04", "10765", "42.74", "7377.64"
"3", "2023-12-08", "10768", "146.32", "7523.96"
"3", "2023-12-08", "10769", "65.06", "7589.02"
"3", "2023-12-10", "10772", "91.28", "7680.3"
"3", "2023-12-16", "10778", "6.79", "7687.09"
"3", "2023-12-16", "10779", "58.13", "7745.22"
"3", "2023-12-24", "10793", "4.52", "7749.74"
"3", "2023-12-25", "10796", "26.52", "7776.26"
"3", "2023-12-31", "10806", "22.11", "7798.37"
"3", "2024-01-05", "10814", "130.94", "7929.31"
"3", "2024-01-06", "10817", "306.07", "8235.38"
"3", "2024-01-07", "10820", "37.52", "8272.9"
"3", "2024-01-14", "10831", "72.19", "8345.09"
"3", "2024-01-19", "10838", "59.28", "8404.37"
"3", "2024-01-19", "10839", "35.43", "8439.8"
"3", "2024-01-27", "10854", "100.22", "8540.02"
"3", "2024-01-27", "10855", "170.97", "8710.99"
"3", "2024-01-28", "10856", "58.43", "8769.42"
"3", "2024-01-29", "10860", "19.26", "8788.68"
"3", "2024-02-10", "10879", "8.5", "8797.18"
"3", "2024-02-18", "10895", "162.75", "8959.93"
"3", "2024-02-19", "10897", "603.54", "9563.47"
"3", "2024-02-24", "10903", "36.71", "9600.18"
"3", "2024-02-24", "10904", "162.95", "9763.13"
"3", "2024-02-26", "10911", "38.19", "9801.32"
"3", "2024-03-02", "10918", "48.83", "9850.15"
"3", "2024-03-04", "10924", "151.52", "10001.67"
"3", "2024-03-04", "10925", "2.27", "10003.94"
"3", "2024-03-09", "10934", "32.01", "10035.95"
"3", "2024-03-09", "10936", "33.68", "10069.63"
"3", "2024-03-10", "10938", "31.89", "10101.52"
"3", "2024-03-13", "10947", "3.26", "10104.78"
"3", "2024-03-13", "10948", "23.39", "10128.17"
"3", "2024-03-19", "10960", "2.08", "10130.25"
"3", "2024-03-20", "10964", "87.38", "10217.63"
"3", "2024-03-25", "10974", "12.96", "10230.59"
"3", "2024-03-31", "10988", "61.14", "10291.73"
"3", "2024-04-06", "11003", "14.91", "10306.64"
"3", "2024-04-07", "11004", "44.84", "10351.48"
"3", "2024-04-07", "11006", "25.19", "10376.67"
"3", "2024-04-09", "11011", "1.21", "10377.88"
"3", "2024-04-14", "11021", "297.18", "10675.06"
"3", "2024-04-22", "11041", "48.22", "10723.28"
"3", "2024-04-24", "11049", "8.34", "10731.62"
"3", "2024-04-27", "11052", "67.26", "10798.88"
"3", "2024-04-29", "11057", "4.13", "10803.01"
"3", "2024-04-30", "11063", "81.73", "10884.74"
